ForLoop_prod_num_1,ForLoop_sum_num_1,ListUtil_prod_num_1,ListUtil_sum_num_1,OMP_prod_num_01,OMP_prod_num_02,OMP_prod_num_03,OMP_prod_num_04,OMP_prod_num_05,OMP_prod_num_06,OMP_prod_num_07,OMP_prod_num_08,OMP_sum_num_01,OMP_sum_num_02,OMP_sum_num_03,OMP_sum_num_04,OMP_sum_num_05,OMP_sum_num_06,OMP_sum_num_07,OMP_sum_num_08,StC_prod_num_1,StC_sum_num_1
0.328042,0.349069,0.112556,0.110867,0.064913,0.038649,0.026695,0.021643,0.018879,0.016658,0.015755,0.015783,0.066013,0.038168,0.026406,0.021965,0.017984,0.017541,0.016040,0.015357,0.064033,0.064296
0.315532,0.322173,0.114251,0.111721,0.064995,0.037330,0.026437,0.022066,0.018558,0.016919,0.015995,0.015268,0.067553,0.035837,0.028051,0.020775,0.018574,0.016416,0.015855,0.015163,0.065878,0.064424
0.323634,0.324851,0.139181,0.110299,0.064659,0.038599,0.027949,0.022071,0.018726,0.017431,0.015750,0.014901,0.064651,0.037783,0.026125,0.021835,0.018567,0.016834,0.015818,0.015384,0.064235,0.064131
0.321204,0.339551,0.123288,0.123738,0.084592,0.039140,0.026459,0.020369,0.019092,0.016710,0.015680,0.015250,0.070814,0.039363,0.027925,0.021189,0.019123,0.016585,0.015757,0.015931,0.063918,0.064783
0.320613,0.362521,0.136150,0.129063,0.071112,0.036786,0.026574,0.021509,0.018385,0.016735,0.016038,0.015022,0.064674,0.036883,0.028044,0.021347,0.018835,0.027163,0.016404,0.015660,0.070717,0.064252
0.320668,0.324909,0.112739,0.110521,0.064749,0.035830,0.027042,0.021627,0.018500,0.016713,0.016005,0.015014,0.064970,0.043000,0.026276,0.021948,0.019080,0.016427,0.016024,0.014803,0.064142,0.066799
0.330509,0.398075,0.114669,0.129543,0.070431,0.038945,0.027266,0.020900,0.019194,0.016441,0.016152,0.033401,0.070860,0.039770,0.027709,0.021255,0.018814,0.017365,0.015588,0.015344,0.113054,0.070105
0.361046,0.344854,0.131135,0.111623,0.065002,0.034869,0.025384,0.021143,0.018312,0.016480,0.015870,0.015732,0.066117,0.036317,0.025555,0.024150,0.018668,0.016560,0.017015,0.019014,0.064241,0.063982
0.317021,0.384239,0.122269,0.112460,0.064982,0.036213,0.027454,0.021392,0.018126,0.017770,0.015998,0.015221,0.064810,0.035196,0.027953,0.025924,0.018998,0.016811,0.015962,0.015277,0.064103,0.064160
0.329587,0.325268,0.115877,0.133721,0.070993,0.039522,0.026871,0.022188,0.018362,0.016697,0.015933,0.015267,0.111760,0.037981,0.025929,0.021080,0.019111,0.020234,0.019156,0.035333,0.064306,0.064535
0.366961,0.338407,0.156459,0.128915,0.064963,0.038792,0.027292,0.021089,0.018515,0.016495,0.016554,0.015056,0.068726,0.038467,0.027039,0.021312,0.021009,0.016634,0.015633,0.015693,0.064689,0.071101
0.313697,0.346326,0.115004,0.129133,0.064701,0.040752,0.028946,0.021857,0.018609,0.016869,0.015744,0.015221,0.065136,0.037452,0.027196,0.022798,0.019083,0.016823,0.016702,0.014576,0.064423,0.064144
0.327280,0.325788,0.113193,0.112302,0.066573,0.038374,0.026272,0.021522,0.018468,0.017507,0.017081,0.015775,0.064720,0.039268,0.026465,0.022155,0.018496,0.016657,0.015732,0.015273,0.064100,0.064246
0.330690,0.325654,0.114831,0.111566,0.064567,0.039857,0.028324,0.021392,0.018712,0.016976,0.015954,0.015562,0.064767,0.040917,0.026727,0.021784,0.018760,0.016711,0.016061,0.015860,0.066455,0.064182
0.321180,0.351747,0.112190,0.110746,0.064919,0.039360,0.028773,0.022054,0.019622,0.017011,0.015787,0.015264,0.064768,0.040772,0.027133,0.020539,0.019084,0.016579,0.015751,0.015311,0.066034,0.064109
0.322272,0.321475,0.111594,0.111031,0.064937,0.036678,0.028040,0.021595,0.018749,0.017427,0.015911,0.015316,0.069175,0.036863,0.025406,0.021938,0.018413,0.016585,0.015910,0.015276,0.064737,0.066422
0.322772,0.321445,0.117149,0.129994,0.064600,0.039219,0.027339,0.020683,0.018413,0.017363,0.016534,0.014997,0.064664,0.038227,0.025518,0.021150,0.018592,0.016720,0.015743,0.016060,0.066849,0.064149
0.315796,0.319406,0.109792,0.108859,0.063171,0.035758,0.028613,0.022740,0.019371,0.016871,0.016201,0.015176,0.063248,0.039351,0.032771,0.022868,0.019008,0.017167,0.015988,0.014916,0.062621,0.063656
0.322602,0.322909,0.110944,0.108825,0.063369,0.038755,0.027659,0.021673,0.017873,0.016610,0.015920,0.015142,0.063358,0.036785,0.025882,0.021246,0.018222,0.017053,0.016216,0.015235,0.067924,0.063626
0.317392,0.326669,0.110080,0.108578,0.066166,0.038542,0.026775,0.020815,0.017833,0.017198,0.015675,0.015563,0.063330,0.038657,0.026388,0.021620,0.018509,0.016701,0.015758,0.015341,0.062610,0.062718
